temporada,competicion,fase,instancia,fecha,pais_sede,ciudad_sede,estadio,equipo_local,equipo_visitante,pais_local,pais_visitante,goles_local,goles_visitante,resultado,fuente,url_fuente,id_partido_fuente,observaciones
2018,Copa Libertadores,Eliminatorias,Cuartos Ida,2018-09-10,Brasil,Rio de Janeiro,Maraca,Botafogo,Cruzeiro,Brasil,Brasil,0,1,Visitante,CONMEBOL,www.conmebol.com,LIB2018001,
2018,Copa Libertadores,Eliminatorias,Semifinal Vuelta,2018-10-30,Colombia,Bogota,El Campín,Santa Fe,Millonarios,Colombia,Colombia,-1,2,Visitante,CONMEBOL,www.conmebol.com,LIB2018002,Goles local negativo: verificar
2020,Copa Libertadores,Grupos,2,2020-11-15,Brasil,Sao Paulo,Morumbi,Sao Paulo FC,Sao Paulo FC,Brasil,Brasil,2,1,Inconsistente,CONMEBOL,www.conmebol.com,LIB2020001,Resultado inconsistente con marcador
2022,Copa Libertadores,Grupos,1,2022-02-20,Argentina,La Plata,Jorge Luis Hirschi,Estudiantes,Velez Sarsfield,Argentina,Argentina,1,1,Empate,CONMEBOL,www.conmebol.com,LIB2022001,
2022,Copa Libertadores,Eliminatorias,Final Ida,2022-10-15,Uruguay,Montevideo,Centenario,Peñarol,Flamengo,Uruguay,Brasil,0,1,Visitante,CONMEBOL,www.conmebol.com,LIB2022002,
2022,Copa Libertadores,Eliminatorias,Final Vuelta,2022-10-29,Brasil,Rio de Janeiro,Maracanã,Flamengo,Peñarol,Brasil,Uruguay,1,0,Local,CONMEBOL,www.conmebol.com,LIB2022003,Campeon: Flamengo
2023,Copa Libertadores,Grupos,1,2023-03-10,Paraguay,Asunción,Defensores del Chaco,Olimpia,Libertad,Paraguay,Paraguay,2,1,Local,CONMEBOL,www.conmebol.com,LIB2023001,
2023,Copa Libertadores,Grupos,2,2023-04-05,Colombia,Medellin,Atanasio Girardot,Atletico Nacional,Deportivo Cali,Colombia,Colombia,3,0,Local,CONMEBOL,www.conmebol.com,LIB2023002,
2023,Copa Libertadores,Grupos,1,2023-03-10,Paraguay,Asunción,Defensores del Chaco,Olimpia,Libertad,Paraguay,Paraguay,2,1,Local,CONMEBOL,www.conmebol.com,LIB2023001,Fila duplicada: verificar
2023,Copa Libertadores,Eliminatorias,Cuartos Ida,2023-08-20,Brasil,Belo Horizonte,Mineirao,Atletico Mineiro,Palmeiras,Brasil,Brasil,0,2,Visitante,CONMEBOL,www.conmebol.com,LIB2023003,
2024,Copa Libertadores,Grupos,3,2024-05-10,Argentina,Cordoba,Mario Alberto Kempes,Talleres,River Plate,Argentina,Argentina,2,2,Empate,CONMEBOL,www.conmebol.com,LIB2024001,
2024,Copa Libertadores,Grupos,2,2024-04-15,Brasil,Salvador,Isidro Cerqueira da Rosa,Bahia,Corinthians,Brasil,Brasil,1,0,Local,CONMEBOL,www.conmebol.com,LIB2024002,
1995,Copa Libertadores,Grupos,1,1995-09-20,Paraguay,Asunción,Defensores del Chaco,Cerro Porteño,Olimpia,Paraguay,Paraguay,1,1,Empate,CONMEBOL,www.conmebol.com,LIB1995001,Fecha fuera del rango: antes de 1996
2025,Copa Libertadores,Grupos,1,2025-02-05,Argentina,Buenos Aires,Monumental,Boca Juniors,River Plate,Argentina,Argentina,2,1,Local,CONMEBOL,www.conmebol.com,LIB2025001,Fecha fuera del rango: despues de 2024
